Experiment	Sample	Study	GSM	Scientific name	Taxon id	Strategy	Source	Platform	Selection	Experiment title	Sample title	Design description	Sample attribute_BioSampleModel	Sample attribute_dev_stage	Sample attribute_scientific_name	Sample attribute_cell type	Sample attribute_treatment	Sample attribute_sub_species	Sample attribute_ENA-FIRST-PUBLIC	Sample attribute_passages	Sample attribute_ENA first public	Sample attribute_ENA-LAST-UPDATE	Sample attribute_disease	Sample attribute_ecotype	Sample attribute_cell_line	Sample attribute_External Id	Sample attribute_Submitter Id	Sample attribute_strain	Sample attribute_transcription factor	Sample attribute_INSDC first public	Sample attribute_INSDC status	Sample attribute_cell line	Sample attribute_sex	Sample attribute_antibody	Sample attribute_broker name	Sample attribute_phenotype	Sample attribute_breed	Sample attribute_source_name	Sample attribute_isolate	Sample attribute_INSDC last update	Sample attribute_age	Sample attribute_Sex	Sample attribute_biomaterial_provider	Sample attribute_individual	Sample attribute_chip antibody	Sample attribute_sample name	Sample attribute_INSDC center alias	Sample attribute_chip antibody details	Sample attribute_collection_date	Sample attribute_common name	Sample attribute_genotype	Sample attribute_developmental stage	Sample attribute_tissue	Sample attribute_replicate	Sample attribute_organism part	Sample attribute_geo_loc_name	Sample attribute_tumor grading	Sample attribute_INSDC center name	Sample attribute_cultivar	Sample attribute_ENA last update	Experiment attribute_Experimental Factor: Stationary	Experiment attribute_Experimental Factor: organism part	Experiment attribute_Experimental Factor: CTVT5	Experiment attribute_Experimental Factor: Regressive	Experiment attribute_Experimental Factor: immunoprecipitate	Experiment attribute_Experimental Factor: Progressive	Experiment attribute_Experimental Factor: CTVT6	Experiment attribute_Experimental Factor: CTVT17	Experiment attribute_Experimental Factor: organism	File information_Alternatives_1_@org	File information_@cluster	File information_@filename	File information_Alternatives_1_@url	File information_Alternatives_@access_type	File information_Alternatives_0_@access_type	File information_Alternatives_1_@free_egress	File information_Alternatives_@free_egress	File information_Alternatives_@org	File information_@version	File information_Alternatives_0_@free_egress	File information_@supertype	File information_@sratoolkit	File information_@size	File information_@semantic_name	File information_@date	File information_Alternatives_0_@org	File information_Alternatives_2_@free_egress	File information_Alternatives_1_@access_type	File information_Alternatives_2_@url	File information_@md5	File information_Alternatives_2_@org	File information_Alternatives_0_@url	File information_Alternatives_2_@access_type	File information_Alternatives_@url	File information_@url	Query
ERX2744731	ERS2643308	ERP110319		Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina HiSeq 4000	ChIP	Illumina HiSeq 4000 sequencing; H3K4me3, H3K27ac and H3K4me1 ChIP-seq in 4 tissues of 10 mammals	do15912	H3K4me3, H3K27ac and H3K4me1 ChIP-seq in 4 tissues of 10 mammals			Canis lupus familiaris			familiaris	2020-01-03T15:59:12Z			2018-08-09T13:37:05Z				SAMEA4823421	E-MTAB-7127:do15912	Beagle		2020-01-03T15:59:12Z	public		male		ArrayExpress					2018-08-09T13:37:05Z	1			Dog7		E-MTAB-7127:do15912				dog		adult		2	muscle tissue			Flicek research group European Molecular Biology Laboratory - European Bioinformatics Institute				muscle tissue			anti-H3K4me1				Canis familiaris	AWS	public	do15912_H3K4me1_muscle_ab8895_canFam3Canis_familiarisDog7.fq.gz	s3://sra-pub-zq-1/ERR2731506/ERR2731506.lite.1	Use Cloud Data Delivery	anonymous	s3.us-east-1	-	AWS	1	worldwide	Original	0	3401807165	fastq	2022-07-12 20:04:38	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-105/ERR2731506/ERR2731506.lite.1	afae9ba06dfed97774fec8ab723f3674	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/ERR002/2731/ERR2731506/ERR2731506.lite.1	gcp identity	s3://sra-pub-src-12/ERR2731506/do15912_H3K4me1_muscle_ab8895_canFam3Canis_familiarisDog7.fq.gz.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2731506/ERR2731506	
ERX2744730	ERS2643307	ERP110319		Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina HiSeq 4000	ChIP	Illumina HiSeq 4000 sequencing; H3K4me3, H3K27ac and H3K4me1 ChIP-seq in 4 tissues of 10 mammals	do14652	H3K4me3, H3K27ac and H3K4me1 ChIP-seq in 4 tissues of 10 mammals			Canis lupus familiaris			familiaris	2020-01-03T15:59:12Z			2018-08-09T13:37:05Z				SAMEA4823420	E-MTAB-7127:do14652	Beagle		2020-01-03T15:59:12Z	public		male		ArrayExpress					2018-08-09T13:37:05Z	1			Dog8		E-MTAB-7127:do14652				dog		adult		3	muscle tissue			Flicek research group European Molecular Biology Laboratory - European Bioinformatics Institute				muscle tissue			anti-H3K4me1				Canis familiaris	AWS	public	do14652_H3K4me1_muscle_ab8895_canFam3Canis_familiarisdog8.fq.gz	s3://sra-pub-zq-8/ERR2731505/ERR2731505.lite.1	Use Cloud Data Delivery	anonymous	s3.us-east-1	-	AWS	1	worldwide	Original	0	3474103124	fastq	2022-07-14 14:10:33	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-102/ERR2731505/ERR2731505.lite.1	7d8d5b42ae9acc0ea8c506667d3acd12	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR002/2731/ERR2731505/ERR2731505.lite.1	gcp identity	s3://sra-pub-src-4/ERR2731505/do14652_H3K4me1_muscle_ab8895_canFam3Canis_familiarisdog8.fq.gz.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2731505/ERR2731505	
ERX2744729	ERS2643306	ERP110319		Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina HiSeq 4000	ChIP	Illumina HiSeq 4000 sequencing; H3K4me3, H3K27ac and H3K4me1 ChIP-seq in 4 tissues of 10 mammals	do14620	H3K4me3, H3K27ac and H3K4me1 ChIP-seq in 4 tissues of 10 mammals			Canis lupus familiaris			familiaris	2020-01-03T15:59:12Z			2018-08-09T13:37:05Z				SAMEA4823419	E-MTAB-7127:do14620	Beagle		2020-01-03T15:59:12Z	public		male		ArrayExpress					2018-08-09T13:37:05Z	1			Dog8		E-MTAB-7127:do14620				dog		adult		3	testis			Flicek research group European Molecular Biology Laboratory - European Bioinformatics Institute				testis			anti-H3K4me1				Canis familiaris	AWS	public	do14620_H3K4me1_testis_ab8895_canFam3Canis_familiarisdog8.fq.gz	s3://sra-pub-zq-1/ERR2731504/ERR2731504.lite.1	Use Cloud Data Delivery	anonymous	s3.us-east-1	-	AWS	1	worldwide	Original	0	2524083897	fastq	2022-07-22 08:46:12	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-107/ERR2731504/ERR2731504.lite.1	f75d4b5b6a766d141a2a351ac766b936	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR002/2731/ERR2731504/ERR2731504.lite.1	gcp identity	s3://sra-pub-src-5/ERR2731504/do14620_H3K4me1_testis_ab8895_canFam3Canis_familiarisdog8.fq.gz.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2731504/ERR2731504	
ERX2744728	ERS2643305	ERP110319		Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina HiSeq 4000	ChIP	Illumina HiSeq 4000 sequencing; H3K4me3, H3K27ac and H3K4me1 ChIP-seq in 4 tissues of 10 mammals	do14512	H3K4me3, H3K27ac and H3K4me1 ChIP-seq in 4 tissues of 10 mammals			Canis lupus familiaris			familiaris	2020-01-03T15:59:12Z			2018-08-09T13:37:05Z				SAMEA4823418	E-MTAB-7127:do14512	Beagle		2020-01-03T15:59:12Z	public		male		ArrayExpress					2018-08-09T13:37:05Z	1			Dog8		E-MTAB-7127:do14512				dog		adult		3	liver			Flicek research group European Molecular Biology Laboratory - European Bioinformatics Institute				liver			anti-H3K4me1				Canis familiaris	AWS	public	do14512_H3K4me1_liver_ab8895_canFam3Canis_familiarisDog8.fq.gz	s3://sra-pub-zq-1/ERR2731503/ERR2731503.lite.1	Use Cloud Data Delivery	anonymous	s3.us-east-1	-	AWS	1	worldwide	Original	0	2741464134	fastq	2022-07-18 13:20:58	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-105/ERR2731503/ERR2731503.lite.1	ddedabfb92dd60340f877cc8b805ed19	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR002/2731/ERR2731503/ERR2731503.lite.1	gcp identity	s3://sra-pub-src-17/ERR2731503/do14512_H3K4me1_liver_ab8895_canFam3Canis_familiarisDog8.fq.gz.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2731503/ERR2731503	
ERX2744727	ERS2643304	ERP110319		Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina HiSeq 4000	ChIP	Illumina HiSeq 4000 sequencing; H3K4me3, H3K27ac and H3K4me1 ChIP-seq in 4 tissues of 10 mammals	do17185	H3K4me3, H3K27ac and H3K4me1 ChIP-seq in 4 tissues of 10 mammals			Canis lupus familiaris			familiaris	2020-01-03T15:59:12Z			2018-08-09T13:37:05Z				SAMEA4823417	E-MTAB-7127:do17185	Beagle		2020-01-03T15:59:12Z	public		male		ArrayExpress					2018-08-09T13:37:05Z	1			Dog7		E-MTAB-7127:do17185				dog		adult		2	testis			Flicek research group European Molecular Biology Laboratory - European Bioinformatics Institute				testis			anti-H3K27ac				Canis familiaris	AWS	public	do17185_H3K27ac_testis_ab4729_canFam3Canis_familiarisDog7.fq.gz	s3://sra-pub-zq-7/ERR2731502/ERR2731502.lite.1	Use Cloud Data Delivery	anonymous	s3.us-east-1	-	AWS	1	worldwide	Original	0	2662827818	fastq	2022-07-18 16:06:06	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-105/ERR2731502/ERR2731502.lite.1	7af418375a14c25491d4a5b08f095066	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR002/2731/ERR2731502/ERR2731502.lite.1	gcp identity	s3://sra-pub-src-3/ERR2731502/do17185_H3K27ac_testis_ab4729_canFam3Canis_familiarisDog7.fq.gz.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2731502/ERR2731502	
ERX2744726	ERS2643303	ERP110319		Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina HiSeq 4000	ChIP	Illumina HiSeq 4000 sequencing; H3K4me3, H3K27ac and H3K4me1 ChIP-seq in 4 tissues of 10 mammals	do17169	H3K4me3, H3K27ac and H3K4me1 ChIP-seq in 4 tissues of 10 mammals			Canis lupus familiaris			familiaris	2020-01-03T15:59:12Z			2018-08-09T13:37:05Z				SAMEA4823416	E-MTAB-7127:do17169	Beagle		2020-01-03T15:59:12Z	public		male		ArrayExpress					2018-08-09T13:37:05Z	1			Dog6		E-MTAB-7127:do17169				dog		adult		2	liver			Flicek research group European Molecular Biology Laboratory - European Bioinformatics Institute				liver			anti-H3K27ac				Canis familiaris	AWS	public	do17169_H3K27ac_liver_ab4729_canFam3Canis_familiarisDog6.fq.gz	s3://sra-pub-zq-1/ERR2731501/ERR2731501.lite.1	Use Cloud Data Delivery	anonymous	s3.us-east-1	-	AWS	1	worldwide	Original	0	2994897894	fastq	2022-07-26 11:58:51	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-101/ERR2731501/ERR2731501.lite.1	c58cd6be39ee67f3b46785eed77989a4	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/ERR002/2731/ERR2731501/ERR2731501.lite.1	gcp identity	s3://sra-pub-src-12/ERR2731501/do17169_H3K27ac_liver_ab4729_canFam3Canis_familiarisDog6.fq.gz.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2731501/ERR2731501	
ERX2744725	ERS2643302	ERP110319		Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina HiSeq 4000	ChIP	Illumina HiSeq 4000 sequencing; H3K4me3, H3K27ac and H3K4me1 ChIP-seq in 4 tissues of 10 mammals	do17056	H3K4me3, H3K27ac and H3K4me1 ChIP-seq in 4 tissues of 10 mammals			Canis lupus familiaris			familiaris	2020-01-03T15:59:12Z			2018-08-09T13:37:05Z				SAMEA4823415	E-MTAB-7127:do17056	Beagle		2020-01-03T15:59:12Z	public		male		ArrayExpress					2018-08-09T13:37:05Z	1			Dog6		E-MTAB-7127:do17056				dog		adult		1	brain			Flicek research group European Molecular Biology Laboratory - European Bioinformatics Institute				brain			anti-H3K27ac				Canis familiaris	AWS	public	do17056_H3K27ac_brain_ab4729_canFam3Canis_familiarisDog6.fq.gz	s3://sra-pub-zq-8/ERR2731500/ERR2731500.lite.1	Use Cloud Data Delivery	anonymous	s3.us-east-1	-	AWS	1	worldwide	Original	0	1573218259	fastq	2022-07-19 11:52:38	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-102/ERR2731500/ERR2731500.lite.1	e57bac09f7d04631cb1e7aaefe3a4e9f	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR002/2731/ERR2731500/ERR2731500.lite.1	gcp identity	s3://sra-pub-src-18/ERR2731500/do17056_H3K27ac_brain_ab4729_canFam3Canis_familiarisDog6.fq.gz.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2731500/ERR2731500	
ERX2744724	ERS2643301	ERP110319		Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina HiSeq 4000	ChIP	Illumina HiSeq 4000 sequencing; H3K4me3, H3K27ac and H3K4me1 ChIP-seq in 4 tissues of 10 mammals	do16063	H3K4me3, H3K27ac and H3K4me1 ChIP-seq in 4 tissues of 10 mammals			Canis lupus familiaris			familiaris	2020-01-03T15:59:12Z			2018-08-09T13:37:05Z				SAMEA4823414	E-MTAB-7127:do16063	Beagle		2020-01-03T15:59:12Z	public		male		ArrayExpress					2018-08-09T13:37:05Z	1			Dog7		E-MTAB-7127:do16063				dog		adult		2	brain			Flicek research group European Molecular Biology Laboratory - European Bioinformatics Institute				brain			anti-H3K27ac				Canis familiaris	AWS	public	ERR2731499.lite	s3://sra-pub-zq-5/ERR2731499/ERR2731499.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	721606066	SRA Lite	2022-07-28 22:34:49	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-104/ERR2731499/ERR2731499.lite.1	1abc100b7be2c72ab752b48abcd9ff2b	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR002/2731/ERR2731499/ERR2731499.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2731499/ERR2731499	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR002/2731/ERR2731499/ERR2731499.lite.1	
ERX2744723	ERS2643300	ERP110319		Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina HiSeq 4000	ChIP	Illumina HiSeq 4000 sequencing; H3K4me3, H3K27ac and H3K4me1 ChIP-seq in 4 tissues of 10 mammals	do15961	H3K4me3, H3K27ac and H3K4me1 ChIP-seq in 4 tissues of 10 mammals			Canis lupus familiaris			familiaris	2020-01-03T15:59:12Z			2018-08-09T13:37:05Z				SAMEA4823413	E-MTAB-7127:do15961	Beagle		2020-01-03T15:59:12Z	public		male		ArrayExpress					2018-08-09T13:37:05Z	1			Dog7		E-MTAB-7127:do15961				dog		adult		2	muscle tissue			Flicek research group European Molecular Biology Laboratory - European Bioinformatics Institute				muscle tissue			anti-H3K27ac				Canis familiaris	AWS	public	do15961_H3K27ac_muscle_ab4729_canFam3Canis_familiarisDog7.fq.gz	s3://sra-pub-zq-1/ERR2731498/ERR2731498.lite.1	Use Cloud Data Delivery	anonymous	s3.us-east-1	-	AWS	1	worldwide	Original	0	3114467330	fastq	2022-07-26 12:11:04	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-101/ERR2731498/ERR2731498.lite.1	4cecf3f91aa55c758073fa0f30d2cd9e	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/ERR002/2731/ERR2731498/ERR2731498.lite.1	gcp identity	s3://sra-pub-src-6/ERR2731498/do15961_H3K27ac_muscle_ab4729_canFam3Canis_familiarisDog7.fq.gz.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2731498/ERR2731498	
ERX2744722	ERS2643299	ERP110319		Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina HiSeq 4000	ChIP	Illumina HiSeq 4000 sequencing; H3K4me3, H3K27ac and H3K4me1 ChIP-seq in 4 tissues of 10 mammals	do15957	H3K4me3, H3K27ac and H3K4me1 ChIP-seq in 4 tissues of 10 mammals			Canis lupus familiaris			familiaris	2020-01-03T15:59:12Z			2018-08-09T13:37:05Z				SAMEA4823412	E-MTAB-7127:do15957	Beagle		2020-01-03T15:59:12Z	public		male		ArrayExpress					2018-08-09T13:37:05Z	1			Dog8		E-MTAB-7127:do15957				dog		adult		3	brain			Flicek research group European Molecular Biology Laboratory - European Bioinformatics Institute				brain			anti-H3K27ac				Canis familiaris	AWS	public	do15957_H3K27ac_brain_ab4729_canFam3Canis_familiarisDog8.fq.gz	s3://sra-pub-zq-8/ERR2731497/ERR2731497.lite.1	Use Cloud Data Delivery	anonymous	s3.us-east-1	-	AWS	1	worldwide	Original	0	2076977928	fastq	2022-07-19 10:56:39	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-107/ERR2731497/ERR2731497.lite.1	33f2bbb7e2471954b3fbea220f7749fd	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR002/2731/ERR2731497/ERR2731497.lite.1	gcp identity	s3://sra-pub-src-8/ERR2731497/do15957_H3K27ac_brain_ab4729_canFam3Canis_familiarisDog8.fq.gz.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2731497/ERR2731497	
ERX2744721	ERS2643298	ERP110319		Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina HiSeq 4000	ChIP	Illumina HiSeq 4000 sequencing; H3K4me3, H3K27ac and H3K4me1 ChIP-seq in 4 tissues of 10 mammals	do15494	H3K4me3, H3K27ac and H3K4me1 ChIP-seq in 4 tissues of 10 mammals			Canis lupus familiaris			familiaris	2020-01-03T15:59:12Z			2018-08-09T13:37:05Z				SAMEA4823411	E-MTAB-7127:do15494	Beagle		2020-01-03T15:59:12Z	public		male		ArrayExpress					2018-08-09T13:37:05Z	1			Dog8		E-MTAB-7127:do15494				dog		adult		3	muscle tissue			Flicek research group European Molecular Biology Laboratory - European Bioinformatics Institute				muscle tissue			anti-H3K27ac				Canis familiaris	AWS	public	do15494_H3K27ac_muscle_ab4729_canFam3Canis_familiarisDog8.fq.gz	s3://sra-pub-zq-1/ERR2731496/ERR2731496.lite.1	Use Cloud Data Delivery	anonymous	s3.us-east-1	-	AWS	1	worldwide	Original	0	1546927559	fastq	2022-07-26 12:12:22	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-101/ERR2731496/ERR2731496.lite.1	f074ec7b1f372a5e8ff6f2d03fabb4c6	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/ERR002/2731/ERR2731496/ERR2731496.lite.1	gcp identity	s3://sra-pub-src-8/ERR2731496/do15494_H3K27ac_muscle_ab4729_canFam3Canis_familiarisDog8.fq.gz.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2731496/ERR2731496	
ERX2744720	ERS2643297	ERP110319		Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina HiSeq 4000	ChIP	Illumina HiSeq 4000 sequencing; H3K4me3, H3K27ac and H3K4me1 ChIP-seq in 4 tissues of 10 mammals	do14643	H3K4me3, H3K27ac and H3K4me1 ChIP-seq in 4 tissues of 10 mammals			Canis lupus familiaris			familiaris	2020-01-03T15:59:12Z			2018-08-09T13:37:05Z				SAMEA4823410	E-MTAB-7127:do14643	Beagle		2020-01-03T15:59:12Z	public		male		ArrayExpress					2018-08-09T13:37:05Z	1			Dog8		E-MTAB-7127:do14643				dog		adult		3	testis			Flicek research group European Molecular Biology Laboratory - European Bioinformatics Institute				testis			anti-H3K27ac				Canis familiaris	AWS	public	do14643_H3K27ac_testis_ab4729_canFam3Canis_familiarisdog8.fq.gz	s3://sra-pub-zq-1/ERR2731495/ERR2731495.lite.1	Use Cloud Data Delivery	anonymous	s3.us-east-1	-	AWS	1	worldwide	Original	0	2949133296	fastq	2022-07-26 12:03:37	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-105/ERR2731495/ERR2731495.lite.1	50f57143afc3c4c027be589af2d158b3	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/ERR002/2731/ERR2731495/ERR2731495.lite.1	gcp identity	s3://sra-pub-src-4/ERR2731495/do14643_H3K27ac_testis_ab4729_canFam3Canis_familiarisdog8.fq.gz.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2731495/ERR2731495	
ERX2744719	ERS2643296	ERP110319		Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina HiSeq 4000	ChIP	Illumina HiSeq 4000 sequencing; H3K4me3, H3K27ac and H3K4me1 ChIP-seq in 4 tissues of 10 mammals	do14502	H3K4me3, H3K27ac and H3K4me1 ChIP-seq in 4 tissues of 10 mammals			Canis lupus familiaris			familiaris	2020-01-03T15:59:12Z			2018-08-09T13:37:05Z				SAMEA4823409	E-MTAB-7127:do14502	Beagle		2020-01-03T15:59:12Z	public		male		ArrayExpress					2018-08-09T13:37:05Z	1			Dog8		E-MTAB-7127:do14502				dog		adult		3	liver			Flicek research group European Molecular Biology Laboratory - European Bioinformatics Institute				liver			anti-H3K27ac				Canis familiaris	AWS	public	ERR2731494.lite	s3://sra-pub-zq-5/ERR2731494/ERR2731494.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	1242119905	SRA Lite	2022-10-24 06:15:37	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-108/ERR2731494/ERR2731494.lite.1	d683487fa4bb8f115b76272ab68f11da	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/ERR002/2731/ERR2731494/ERR2731494.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2731494/ERR2731494	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/ERR002/2731/ERR2731494/ERR2731494.lite.1	
ERX1919234	ERS1573271	ERP021811		Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina Genome Analyzer IIx	ChIP	Illumina Genome Analyzer IIx paired end sequencing; Methylome of 9 canine transmissible veneral tumour (CTVT) samples	CTVT6 S	Methylome of 9 canine transmissible veneral tumour (CTVT) samples			Canis lupus familiaris			familiaris	2018-01-31T17:02:41Z			2017-02-28T15:42:49Z	canine transmissible veneral tumour			SAMEA101367418	E-MTAB-5495:CTVT6 S			2018-01-31T17:02:41Z	public				ArrayExpress					2017-02-28T15:42:49Z				CTVT6		E-MTAB-5495:CTVT6 S				dog							Stationary	Department of Infection, UCL			tumor grading						individual			AWS	public	ERR1857551.sralite	s3://sra-pub-zq-6/ERR1857551/ERR1857551.sralite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	691630571	SRA Lite	2020-08-15 02:39:19	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-102/ERR1857551/ERR1857551.zq.1	c18f53169544c7ed45703ab1f0f1649d	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR001/857/ERR1857551.sralite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR1857551/ERR1857551	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR001/857/ERR1857551.sralite.1	
ERX1919233	ERS1573270	ERP021811		Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina Genome Analyzer IIx	ChIP	Illumina Genome Analyzer IIx paired end sequencing; Methylome of 9 canine transmissible veneral tumour (CTVT) samples	CTVT6 R	Methylome of 9 canine transmissible veneral tumour (CTVT) samples			Canis lupus familiaris			familiaris	2018-01-31T17:02:40Z			2017-02-28T15:42:49Z	canine transmissible veneral tumour			SAMEA101366668	E-MTAB-5495:CTVT6 R			2018-01-31T17:02:40Z	public				ArrayExpress					2017-02-28T15:42:49Z				CTVT6		E-MTAB-5495:CTVT6 R				dog							Regressive	Department of Infection, UCL						tumor grading			individual			AWS	public	ERR1857550.sralite	s3://sra-pub-zq-3/ERR1857550/ERR1857550.sralite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	804017774	SRA Lite	2020-08-14 01:40:13	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-104/ERR1857550/ERR1857550.zq.1	b6abf5c9f183c0c592ef2451a8b9e1a4	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR001/857/ERR1857550.sralite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR1857550/ERR1857550	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR001/857/ERR1857550.sralite.1	
ERX1919232	ERS1573269	ERP021811		Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina Genome Analyzer IIx	ChIP	Illumina Genome Analyzer IIx paired end sequencing; Methylome of 9 canine transmissible veneral tumour (CTVT) samples	CTVT6 P	Methylome of 9 canine transmissible veneral tumour (CTVT) samples			Canis lupus familiaris			familiaris	2018-01-31T17:02:40Z			2017-02-28T15:42:49Z	canine transmissible veneral tumour			SAMEA101365918	E-MTAB-5495:CTVT6 P			2018-01-31T17:02:40Z	public				ArrayExpress					2017-02-28T15:42:49Z				CTVT6		E-MTAB-5495:CTVT6 P				dog							Progressive	Department of Infection, UCL								tumor grading	individual			AWS	public	ERR1857549.sralite	s3://sra-pub-zq-3/ERR1857549/ERR1857549.sralite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	469519777	SRA Lite	2020-08-14 00:07:23	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-104/ERR1857549/ERR1857549.zq.1	e0d00fbf5f16e4e3ada0d58109b2ad2e	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR001/857/ERR1857549.sralite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR1857549/ERR1857549	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR001/857/ERR1857549.sralite.1	
